NSS.FRAC.M2.D07157.S0359.E0542.B0326061.SV,2007,157,843776,256844,-0.087950386,0.061244993
NSS.FRAC.M2.D07157.S0541.E0724.B0326162.SV,2007,157,1413120,315867,-0.085509153,0.059191465
NSS.FRAC.M2.D07157.S0723.E0905.B0326263.SV,2007,157,2293760,373510,-0.096235839,0.066100583
NSS.FRAC.M2.D07157.S0904.E1046.B0326364.SV,2007,157,4929536,562621,-0.10653183,0.079701732
NSS.FRAC.M2.D07157.S1045.E1227.B0326465.SV,2007,157,1837056,319526,-0.108518479,0.086483074
NSS.FRAC.M2.D07157.S1226.E1406.B0326566.SV,2007,157,980992,159814,-0.116843889,0.084370563
NSS.FRAC.M2.D07157.S1406.E1546.B0326667.SV,2007,157,614400,192174,-0.143506777,0.101503574
NSS.FRAC.M2.D07157.S1545.E1726.B0326768.SV,2007,157,696320,207247,-0.150082577,0.108613982
NSS.FRAC.M2.D07157.S1725.E1907.B0326869.SV,2007,157,841728,74488,-0.179991446,0.143283658
NSS.FRAC.M2.D07157.S1906.E2048.B0326970.SV,2007,157,1024000,141141,-0.188666216,0.124261719
NSS.FRAC.M2.D07157.S2047.E2230.B0327071.SV,2007,157,1968128,526286,-0.129644022,0.08889658
NSS.FRAC.M2.D07157.S2229.E0012.B0327172.SV,2007,157,4255744,892282,-0.17192745,0.16433248
NSS.FRAC.M2.D07158.S0012.E0155.B0327273.SV,2007,158,3037184,604601,-0.219975845,0.192178475
NSS.FRAC.M2.D07158.S0154.E0338.B0327374.SV,2007,158,1892352,505644,-0.315688375,0.233393921
NSS.FRAC.M2.D07158.S0337.E0520.B0327475.SV,2007,158,843776,65114,-0.106447975,0.068511135
NSS.FRAC.M2.D07158.S0520.E0703.B0327576.SV,2007,158,1296384,185654,-0.14308933,0.111787388
NSS.FRAC.M2.D07158.S0702.E0844.B0327677.SV,2007,158,2072576,255137,-0.17125356,0.170828349
NSS.FRAC.M2.D07158.S0843.E1025.B0327778.SV,2007,158,3762176,443843,-0.214417495,0.245234939
NSS.FRAC.M2.D07158.S1024.E1206.B0327879.SV,2007,158,2224128,310228,-0.122920267,0.12510012
NSS.FRAC.M2.D07158.S1205.E1345.B0327980.SV,2007,158,1083392,267562,-0.102492233,0.071452526
NSS.FRAC.M2.D07158.S1345.E1525.B0328081.SV,2007,158,487424,82322,-0.097921573,0.071021409
NSS.FRAC.M2.D07158.S1524.E1706.B0328182.SV,2007,158,1032192,136448,-0.098320262,0.075642713
NSS.FRAC.M2.D07158.S1705.E1846.B0328283.SV,2007,158,843776,71736,-0.120781879,0.1015067
NSS.FRAC.M2.D07158.S1845.E2027.B0328384.SV,2007,158,917504,78504,-0.113460639,0.084075909
NSS.FRAC.M2.D07158.S2026.E2209.B0328485.SV,2007,158,1652736,244975,-0.160071946,0.156878304
NSS.FRAC.M2.D07158.S2208.E2351.B0328586.SV,2007,158,5425152,883046,-0.219387262,0.185737972
NSS.FRAC.M2.D07158.S2351.E0133.B0328687.SV,2007,158,3162112,518805,-0.21879126,0.191288345
NSS.FRAC.M2.D07159.S0133.E0317.B0328788.SV,2007,159,2117632,624125,-0.213123333,0.198368679
NSS.FRAC.M2.D07159.S0316.E0459.B0328889.SV,2007,159,849920,197533,-0.12863006,0.116073769
NSS.FRAC.M2.D07159.S0459.E0641.B0328990.SV,2007,159,1142784,152538,-0.129031678,0.124937201
NSS.FRAC.M2.D07159.S0641.E0824.B0329091.SV,2007,159,1853440,211937,-0.125330653,0.125855334
NSS.FRAC.M2.D07159.S0823.E1005.B0329192.SV,2007,159,3233792,427415,-0.153032575,0.150756343
NSS.FRAC.M2.D07159.S1004.E1144.B0329293.SV,2007,159,2891776,396721,-0.130395515,0.1322998
NSS.FRAC.M2.D07159.S1144.E1324.B0329394.SV,2007,159,1218560,179990,-0.115365949,0.108452618
NSS.FRAC.M2.D07159.S1323.E1505.B0329495.SV,2007,159,843776,117662,-0.095612416,0.082372232
NSS.FRAC.M2.D07159.S1504.E1645.B0329596.SV,2007,159,90112,7676,-0.114788576,0.084125841
NSS.FRAC.M2.D07159.S1644.E1825.B0329697.SV,2007,159,843776,68045,-0.191332524,0.171211366
NSS.FRAC.M2.D07159.S1824.E2005.B0329798.SV,2007,159,841728,38435,-0.157181225,0.124721165
NSS.FRAC.M2.D07159.S2005.E2148.B0329899.SV,2007,159,1423360,216710,-0.175125,0.134610475
NSS.FRAC.M2.D07159.S2147.E2330.B0329900.SV,2007,159,4853760,767864,-0.209097386,0.160748997
NSS.FRAC.M2.D07159.S2329.E0112.B0330001.SV,2007,159,3354624,796230,-0.17100714,0.122918727
NSS.FRAC.M2.D07160.S0112.E0256.B0330102.SV,2007,160,2426880,623363,-0.161681314,0.137428856
NSS.FRAC.M2.D07160.S0255.E0438.B0330203.SV,2007,160,886784,320628,-0.201919249,0.145300827
NSS.FRAC.M2.D07160.S0437.E0620.B0330304.SV,2007,160,960512,127852,-0.119175332,0.103686869
NSS.FRAC.M2.D07160.S0620.E0803.B0330405.SV,2007,160,1646592,298748,-0.128122457,0.096371382
NSS.FRAC.M2.D07160.S0802.E0944.B0330506.SV,2007,160,2859008,533636,-0.161757041,0.147112818
NSS.FRAC.M2.D07160.S0943.E1123.B0330607.SV,2007,160,4671488,650809,-0.161098228,0.169342793
NSS.FRAC.M2.D07160.S1123.E1304.B0330708.SV,2007,160,1386496,218596,-0.085114945,0.063572217
NSS.FRAC.M2.D07160.S1304.E1444.B0330809.SV,2007,160,843776,42716,-0.06979542,0.0587114
NSS.FRAC.M2.D07160.S1443.E1624.B0330910.SV,2007,160,137216,6386,-0.076857906,0.056168628
NSS.FRAC.M2.D07160.S1623.E1805.B0331011.SV,2007,160,843776,58887,-0.109478589,0.095733155
NSS.FRAC.M2.D07160.S1804.E1946.B0331112.SV,2007,160,841728,52979,-0.131643285,0.143059763
NSS.FRAC.M2.D07160.S1945.E2127.B0331213.SV,2007,160,1269760,167003,-0.106452567,0.10495643
NSS.FRAC.M2.D07160.S2126.E2309.B0331314.SV,2007,160,3096576,627790,-0.24029008,0.210490033
NSS.FRAC.M2.D07160.S2308.E0051.B0331415.SV,2007,160,3592192,866910,-0.238068618,0.189756396
NSS.FRAC.M2.D07161.S0050.E0233.B0331516.SV,2007,161,2781184,564318,-0.264953299,0.183268161
NSS.FRAC.M2.D07161.S0233.E0417.B0331617.SV,2007,161,1296384,665990,-0.261839322,0.177047265
NSS.FRAC.M2.D07161.S0416.E0559.B0331718.SV,2007,161,862208,355075,-0.237347742,0.175527726
NSS.FRAC.M2.D07161.S0559.E0741.B0331819.SV,2007,161,1542144,418246,-0.212372397,0.174522708
NSS.FRAC.M2.D07161.S0741.E0922.B0331920.SV,2007,161,2523136,562708,-0.201847475,0.170249419
NSS.FRAC.M2.D07161.S0922.E1103.B0332021.SV,2007,161,3168256,543386,-0.20537162,0.190842021
NSS.FRAC.M2.D07161.S1103.E1243.B0332122.SV,2007,161,1601536,260573,-0.164870836,0.196429328
NSS.FRAC.M2.D07161.S1242.E1423.B0332223.SV,2007,161,894976,54851,-0.169286186,0.219592016
NSS.FRAC.M2.D07161.S1422.E1604.B0332324.SV,2007,161,1032192,92483,-0.172698514,0.227989884
NSS.FRAC.M2.D07161.S1603.E1743.B0332425.SV,2007,161,540672,43254,-0.201097321,0.231797548
NSS.FRAC.M2.D07161.S1743.E1924.B0332526.SV,2007,161,843776,78513,-0.257887157,0.251812003
NSS.FRAC.M2.D07161.S1924.E2105.B0332627.SV,2007,161,1124352,147558,-0.217733672,0.194266069
NSS.FRAC.M2.D07161.S2105.E2248.B0332728.SV,2007,161,2338816,346715,-0.192011725,0.153908762
NSS.FRAC.M2.D07161.S2247.E0030.B0332829.SV,2007,161,3921920,826428,-0.206441841,0.151605958
NSS.FRAC.M2.D07162.S0029.E0212.B0332930.SV,2007,162,2951168,530652,-0.220824735,0.138623351
NSS.FRAC.M2.D07162.S0212.E0356.B0333031.SV,2007,162,1632256,253046,-0.159146162,0.134208172
